0.28528,0.58315,0.49901,0.47332
0.32386,0.62426,0.62717,0.50707
0.37783,0.71196,0.59087,0.59701
0.60341,0.39663,0.53274,0.46066
0.29478,0.63159,0.61676,0.52558
0.41019,0.74093,0.65530,0.52476
0.45294,0.75290,0.45017,0.54398
0.50274,0.53501,0.40718,0.54174
0.26153,0.62127,0.69381,0.63888
0.43891,0.77305,0.80101,0.72205
0.53611,0.88398,0.67546,0.63051
0.70072,1.06994,0.85363,0.47362
0.73211,0.70862,0.77447,0.61192
0.56201,0.75578,0.87747,0.69363
0.86207,0.95950,1.00941,0.80892
1.00955,1.10103,1.10221,0.89139
